Date,State,Total delegates,Trump,Haley,DeSantis,Ramaswamy
15-Jan,Iowa >,40,20,8,9,3
23-Jan,New Hampshire >,22,13,9,0,0
8-Feb,Nevada >,26,26,0,0,0
8-Feb,Virgin Islands >,4,4,0,0,0
24-Feb,South Carolina >,50,47,3,0,0
27-Feb,Michigan >,16,12,4,0,0
2-Mar,Idaho >,32,32,0,0,0
2-Mar,Michigan >,39,39,0,0,0
2-Mar,Missouri >,54,54,0,0,0
3-Mar,District of Columbia >,19,0,19,0,0
4-Mar,North Dakota >,29,29,0,0,0
5-Mar,Alaska >,29,29,0,0,0
5-Mar,Alabama >,50,50,0,0,0
5-Mar,Arkansas >,40,39,1,0,0
5-Mar,California >,169,169,0,0,0
5-Mar,Colorado >,37,24,12,0,0
5-Mar,Massachusetts >,40,40,0,0,0
5-Mar,Maine >,20,20,0,0,0
5-Mar,Minnesota >,39,27,12,0,0
5-Mar,North Carolina >,74,62,10,0,0
5-Mar,Oklahoma >,43,43,0,0,0
5-Mar,Tennessee >,58,58,0,0,0
5-Mar,Texas >,161,161,0,0,0
5-Mar,Utah >,40,40,0,0,0
5-Mar,Virginia >,48,42,6,0,0
5-Mar,Vermont >,17,0,9,0,0
8-Mar,American Samoa >,9,9,0,0,0
12-Mar,Georgia >,59,59,0,0,0
12-Mar,Hawaii >,19,19,0,0,0
12-Mar,Mississippi >,40,40,0,0,0
12-Mar,Washington >,43,40,0,0,0
15-Mar,Northern Mariana Islands >,9,0,0,0,0
16-Mar,Guam,9,0,0,0,0
19-Mar,Arizona,43,0,0,0,0
19-Mar,Florida,125,0,0,0,0
19-Mar,Illinois,64,0,0,0,0
19-Mar,Kansas,39,0,0,0,0
19-Mar,Ohio,79,0,0,0,0
23-Mar,Louisiana,47,0,0,0,0
2-Apr,Connecticut,28,0,0,0,0
2-Apr,Delaware,16,0,0,0,0
2-Apr,New York,91,0,0,0,0
2-Apr,Rhode Island,19,0,0,0,0
2-Apr,Wisconsin,41,0,0,0,0
18-Apr,Wyoming,29,0,0,0,0
21-Apr,Puerto Rico,23,0,0,0,0
23-Apr,Pennsylvania,67,0,0,0,0
7-May,Indiana,58,0,0,0,0
14-May,Maryland,37,0,0,0,0
14-May,Nebraska,36,0,0,0,0
14-May,West Virginia,32,0,0,0,0
21-May,Kentucky,46,0,0,0,0
21-May,Oregon,31,0,0,0,0
4-Jun,Montana,31,0,0,0,0
4-Jun,New Jersey,12,0,0,0,0
4-Jun,New Mexico,22,0,0,0,0
4-Jun,South Dakota,29,0,0,0,0
